input;output
Negara yang Pertama dan Terakhir Merayakan Tahun Baru;Neutral
Faktor-Faktor yang Dapat Mempercepat Terjadinya Korosi;Neutral
Kenapa Resolusi Tahun Baru Sering Gagal?;Neutral
"5 Hewan yang Hidup di Bawah Tanah, Ada Tikus hingga Serangga";Neutral
Matinya Gerakan Literasi?;Negative
"Dosen UGM Paparkan Gejala, Penyebab dan Pengobatan Anemia";Neutral
Dosen FK Unair: Waspadai Gejala Stroke Jika Alami Hal Ini;Neutral
"Cerita dari SDN Babakan 03, Terletak di Kampung tetapi Tidak Kampungan";Positive
"Jalankan Misi Penelitian, Dosen Unsoed Ikut Jelajah Perairan Indonesia Timur";Positive
"5 Cara Melawan Rasa Malas Masuk Sekolah, Siswa Harus Coba";Neutral
Mengapa Serangan Bom Bunuh Diri Makin Sering Terjadi di Pakistan?;Neutral
MUI Yakin Polri Profesional Tangani Kasus Penodaan Agama Panji Gumilang;Positive
"Disebut Rocky Gerung 'Bajingan', Jokowi: Saya Kerja Aja";Negative
Respons Santai Rocky Gerung Usai Dilaporkan Dugaan Hina Jokowi: Hak Mereka;Neutral
Jumat Horor di Gedung KPK;Negative
"Antisipasi Cuaca Buruk, Menhub Minta Aspek Keselamatan Transportasi Diperketat";Positive
"Totalnya 142 Kilometer, Ini Ruas Tol yang Beroperasi Tahun 2022";Positive
"Jumlah Kamar Penginapan 788.982 Unit, Terbanyak di Provinsi Ini";Neutral
"Puncak Arus Balik, Contraflow Berlaku di Tol Japek KM 57-KM 47";Neutral
"Kawasan Pantai Malalayang dan Bunaken Tuntas Dipersolek, Ini Potretnya";Positive
"10 Resep Paling Viral di Indonesia pada 2022, Kamu Pernah Bikin?";Neutral
"9 Makanan Viral 2022, Salah Satunya Risol Mayones";Neutral
"Resep Sup Krim Jagung dan Kentang, Pakai Jagung Manis yang Belum Sempat Dibakar";Neutral
"10 Resep Paling Viral di Dunia pada 2022, Ada Overnight Oats dan Pasta Salad";Neutral
"Resep Jagung Goreng Mayo, Bisa Pakai Sisa Bakaran Tahun Baru";Positive
4 Gejala Alzheimer yang Sering Diabaikan;Neutral
Kenali Penyebab dan Efek Kesepian pada Kesehatan;Neutral
5 Makanan untuk Meningkatkan Daya Tahan Tubuh;Positive
Mengenal Gejala dan Cara Mengatasi Sindrom Kelelahan Kronis;Neutral
5 Cara Mencegah Kepanasan Saat Hamil;Neutral
Puncak Gunung Gede Pangrango Dilaporkan Membeku Imbas Kemarau;Negative
"Kronologi Penggerebekan Markas KKB di Yahukimo, 2 Orang Tewas";Negative
"Tepergok Curi HP, Pria di Flores Timur Tewas Dikeroyok Warga";Negative
"Komplotan Pencuri Baterai di 4 Tower Telekomunikasi Sintang Kalbar, 5 Orang Ditangkap";Negative
"Guru Dikatapel Orangtua Murid di Bengkulu, Pihak Sekolah Lapor Polisi";Negative
Tulus Ajak Penonton JIEXPO New Year ReSOULution Karaoke Bersama;Positive
"Ungkap Perasaan tentang Lee Jong Suk, IU: Dia Orang yang Aku Percaya";Positive
Cerita Maudy Ayunda dan Respons Ibunya Saat Dinilai Berhasil Mendidik Dua Anak;Positive
"Rafathar hingga Cipung Ikut Cium Mamih Popon, Raffi Ahmad: Udah Enggak Sakit Lagi ";Positive
"Jadi Sorotan, YouTube Rewind 2022 Rangkum Peristiwa Penting Dalam dan Luar Negeri";Positive
"Tak Bayar Pajak Kendaraan 2 Tahun Jadi Bodong, Ini Dasar Hukumnya";Neutral
8 Juta Orang Bepergian dengan Angkutan Umum Selama Nataru;Positive
"Jadwal Ganjil Genap dan One Way di Puncak Hari Ini, Arah Jakarta Mulai 11.30 WIB";Neutral
"Lampu Senja Mobil Mati, Amankah untuk Berkendara di Jalan Tol?";Neutral
"Tarif Tol Tangerang-Merak Naik, Total Rp 61.500";Negative
"Kisah Lato-lato, Senjata Koboi yang Kini Kembali Viral";Neutral
"Prasasti Harinjing, Asal-usul Hari Jadi Kediri";Neutral
Latar Belakang Lahirnya Nahdlatul Ulama;Neutral
"Sejarah Basilika Santo Petrus, Gereja Terbesar di Dunia";Neutral
"Sejarah Tenis Meja, Sudah Ada Sejak Abad 19";Neutral
"Tren Bisnis Tahun 2023, dari Makanan Ringan hingga Ruang Baca";Neutral
6 Tips Penting Lakukan Promosi di TikTok agar Live Banjir Penonton!;Neutral
UMKM di Kampoeng Heritage Kajoetangan Malang Keluhkan Sepinya Pembeli;Negative
3 Cara Meningkatkan Penjualan Saat Membangun Usaha;Neutral
5 Skill Penting yang Harus Dimiliki untuk Membangun Bisnis MUA ;Neutral
"Buat Pegawai yang Mau Wujudkan Mimpi, Temukan Solusinya di Sini!";Positive
Bayar Belanjaan Jadi Lebih Simpel Pakai QRIS di myBCA;Positive
Enesis Group Gandeng BPBD Kabupaten Lumajang Salurkan Bantuan kepada Warga Terdampak Erupsi Semeru;Positive
Ingin Kulit Tangan Lembap dan Cerah? Gunakan Softness Creator Hand Butter dari Lavojoy;Positive
Atasi Masalah Rambut Rontok dengan Hold Me Tight Shampoo dan SOS Nourishing Conditioner dari Lavojoy;Positive
10 Roket Antariksa yang Gagal Tuntaskan Misi di 2022;Negative
"BMKG Sebut 4 Faktor Sebabkan Banjir Semarang, Ingatkan Cuaca Buruk";Negative
Seperti Apa Kiamat?;Neutral
"Sama-sama Urus Antariksa, Simak Beda Anggaran NASA dan BRIN 2023";Neutral
BMKG Sebut Ada 4 Gempa Susulan di Cianjur di Awal 2023;Negative
Heboh Presiden UFC Dana White Tampar Istri;Negative
Pereli Ken Block Tewas Dalam Kecelakaan Mobil Salju;Negative
Adu Cepat Balap Mobil dari Kayu di Thailand;Positive
Update Ranking BWF: Jonatan Christie Tembus 3 Besar Dunia!;Positive
Peluncuran dan Hitung Mundur PON Aceh-Sumut Digelar 21-22 Januari;Neutral
"Selama Nataru, 8,3 Juta Orang Bepergian dengan Angkutan Umum ";Neutral
Bagaimana Kondisi Makro Ekonomi Indonesia Selama 2022? Ini Kata Pengamat;Neutral
"Perjalanan Kereta Terlambat dan Memutar akibat Banjir, KAI Minta Maaf";Negative
"Rincian Harga Emas Hari Ini di Pegadaian, dari 0,5 Gram hingga 1 Kg";Neutral
"Kereta Harus Memutar Via Jalur Selatan akibat Banjir, Ini Daftarnya";Negative
Prabowo Sebut Anies Profesor dan Ganjar Gubernur;Neutral
Prabowo Sindir Eropa yang Gugat Jokowi: Indonesia Tak Boleh Sejahtera?;Positive
Bareskrim Naikkan Dugaan Penistaan Agama Panji Gumilang ke Penyidikan;Positive
Bareskrim Naikkan Dugaan Penistaan Agama Panji Gumilang ke Penyidikan;Positive
Video: Buka-Bukaan Ganjar Soal Calon Terkuat Bacawapres;Neutral
"Teman Seangkatan Ganjar: Meski Ganjar Susah, tapi Ia Tanggung Sendiri";Positive
Video: Buka-Bukaan PDIP Soal 5 Calon Kuat Bacawapres Ganjar!;Neutral
"PSI, Dulu Dukung Ganjar, Kini Mendekat ke Prabowo";Neutral
Membaca Blusukan Ganjar;Neutral
"Demam Cristiano Ronaldo di Arab Saudi, Fans Buru Jersey Al Nassr CR7";Positive
Messi Ucap Selamat Tinggal untuk 2022: Tahun yang Tak Terlupakan...;Positive
Vinicius Jadi Korban Rasisme: La Liga Tak Bertindak Apa-apa;Negative
"Indonesia di Piala AFF 2022: Main Media Sosial, Ada Sanksi Moral";Neutral
"Hasil Nottingham Vs Chelsea 1-1, Rekor Buruk Laga Tandang The Blues Berlanjut";Negative
"Jokowi Dihina Rocky Gerung, Mahfud: Itu Delik Aduan, Presiden Enggak Mau Mengadu";Negative
"Imigrasi Tangkap Pelaku Penyelundupan Manusia di Bandara Soekarno-Hatta, Ini Kronologinya";Negative
Sadisnya Empat Sekuriti Taman Impian Jaya Ancol Aniaya Pria hingga Tewas ;Negative
Tanggal 4 Agustus Memperingati Hari Apa?;Neutral
Mahkamah Agung Tolak Kasasi Mardani Maming;Negative
Jadwal Sementara MotoGP 2023: Mandalika Seri ke-16;Neutral
Daftar Lengkap Rider dan Tim Balap MotoGP 2023;Neutral
Bastianini Bicara tentang Rivalitas dengan Bagnaia dan Marc Marquez;Neutral
Atlet Berkuda Ini Pindah ke Jakarta demi Ikut Banyak Kompetisi;Positive
Victoria Lee: Atlet Berkuda Surabaya Mengadu Nasib di Ibukota;Neutral
Prediksi Cuaca BMKG 1 Januari 2023: Hujan di Jabodetabek;Neutral
Jadwal Lengkap Hujan Meteor 2023: Desember Terbanyak;Positive
"Jadwal Gerhana Matahari dan Bulan 2023, Ada yang Terjadi saat Ramadan";Neutral
Jadwal Fenomena Matahari 2023;Neutral
Jadwal Penampakan dan Fenomena Planet Tahun 2023;Neutral
Jadwal Pertandingan M4 World Championship dan Pembagian Grup;Neutral
Jadwal RRQ Hoshi dan Onic Esports di Mobile Legends M4 World Championship;Neutral
Xiaomi Redmi 12C Meluncur dengan Helio G85 dan Baterai 5.000 mAh;Neutral
"Bos Desainer Mercedes-Benz Pindah ke Samsung, Ditugasi Rancang Galaxy S dan Z";Neutral
"Hasil Mobile Legends M4 Hari Pertama, Onic Esports Gagal Dapat Poin";Negative
"Berniat Turunkan Berat Badan di Tahun 2023, Hindari Makanan Berikut ";Neutral
9 Inspirasi Warna untuk Dicoba di Tahun 2023 ;Neutral
Tren Sepatu yang Populer dan Ketinggalan Zaman di Tahun 2023;Neutral
5 Alasan Kurma Bisa Menurunkan Berat Badan;Positive
5 Tips Melembapkan Kulit dengan Tepat Menurut Ahli Dermatologi;Positive
Dibuka Rekrutmen Bintara TNI AL 2023 bagi Lulusan SMA/SMK;Neutral
"Rekrutmen Tamtama TNI AL 2023 bagi Lulusan Minimal SMP, Cek Cara Daftarnya";Neutral
Kemenag Dorong Peningkatan Guru Besar di PTKIN;Neutral
"PTPN XII Buka Lowongan Kerja Lulusan SMA Sederajat, Ini Kriterianya";Neutral
"Intip Gaji Fresh Graduate di 10 Negara Asia, Indonesia Nomor Berapa?";Neutral
Shindong Super Junior Pacaran dengan Kalangan Non-Seleb;Positive
Proyek Lanjutan Game of Thrones Kena Imbas Gejolak HBO Max;Neutral
"Siap-siap, Ada 16 Konser Besar Januari-Maret 2023 di Indonesia";Positive
Jadwal Bioskop Trans TV 2-8 Januari 2023;Neutral
Istri Indra Bekti Buka Alasan Gelar Penggalangan Dana;Positive
"Banjir Landa Semarang, Pertamina Gerak Cepat Salurkan Bantuan Bright Gas dan Sembako";Positive
"Lakukan Evaluasi Berkala, Pertamina Sesuaikan Harga Pertamax dan Dex Series";Neutral
"Atasi Isu Food Waste, PHMHOTELS Jalin Kerja Sama dengan FoodCycle Indonesia";Positive
"Pastikan Liburan Nataru Aman dan Nyaman, Antis Gandeng Pertamina Retail Sediakan Hand Sanitizer di SPBU";Positive
"Banjir Belum Surut, Pertamina Kirim Bantuan Bright Gas dan Sembako ke Dua Dapur Umum di Pati";Positive
Arus Balik Libur Nataru ke Jakarta Diperkirakan Terjadi Sore Ini;Neutral
Uji Performa Serta Ketangguhan BMW X7 di Dalam dan Luar Kota;Positive
Sandiaga Uno Minta Transportasi buat Industri Pariwisata Harus Aman;Positive
"Terungkap, Ini Sosok Motor Listrik Baru Gesits";Neutral
"Siksa BMW X7 di Medan Offroad, The President Diajak Main Air";Positive
Shin Tae Yong Dilema Indonesia Lawan Filipina di Lapangan Sintetis;Neutral
3 Syarat STY Agar Indonesia Juara Grup A Piala AFF 2022;Neutral
FOTO: Laris Manis Jersey Ronaldo di Al Nassr;Positive
3 Pemain Filipina yang Ikut Tertawa Saat Membantai Indonesia 4-0;Negative
Barcelona vs Espanyol: Wasit 'Musuh' Messi Batal Usir Pemain;Neutral
"Buka Penampilan di JIEXPO New Year ReSOULution, Tulus Bawakan Lagu Ruang Sendiri dan Monokrom";Positive
IU Tulis Surat Setelah Dikonfirmasi Berpacaran dengan Lee Jong Suk;Positive
"Kondisi Indra Bekti Menurun, Aldila Jelita: Plis, Kamu Kuat Sayang";Negative
"Shindong Super Junior Dikonfirmasi Pacaran, Tapi Belum Ada Rencana Menikah";Positive
"Kerja ke Luar Kota, Indy Barends Sempatkan Jenguk Indra Bekti";Positive
VIDEO: Warga Kyiv Rayakan Tahun Baru 2023 di Tengah Raungan Sirene;Negative
Sosok Paus Benediktus di Mata Paus Fransiskus: Begitu Mulia;Positive
FOTO: Rona Euforia Dunia Rayakan Detik-detik Tahun Baru 2023;Positive
"Kasus Covid-19 Tinggi di China, Taiwan Janji Ulurkan Tangan";Positive
5 Fakta Mendiang Paus Benediktus XVI: Paus Pertama yang Undur Diri;Neutral
"7 Hewan Paling Setia di Dunia, dari Angsa hingga Serigala";Positive
Tantangan Akurasi Prediksi Cuaca Indonesia;Neutral
Kenapa dalam Seminggu Ada 7 Hari?;Neutral
Mengapa Gempa Dangkal seperti Gempa Cianjur Lebih Destruktif?;Neutral
"Ular Weling, Ular Berbisa yang Hidup di Indonesia";Neutral
"Tahun Baru di Kota Batu Diwarnai Hujan, Warga Beralih Kulineran";Neutral
"Semarang Banjir, Ini 6 Tempat Wisata yang Terdampak";Negative
"Cegah Kecelakaan Terjadi Lagi, Sandiaga Teken SE Keselamatan Transportasi Wisata";Positive
"Tips Berkunjung ke Museum Polri, Siapkan Kamera yang Memadai";Neutral
Kebun Binatang Jurug di Kota Solo Akan Buka Lagi Akhir Januari 2023;Positive
"Barcelona Vs Espanyol, Xavi Sesali Hasil Imbang: Semua Salah Kami...";Negative
"Hasil Brighton Vs Arsenal: Menang 4-2, The Gunners Jauhi Man City";Positive
Luis Suarez Tolak Klub Arab Saudi untuk Gabung Gremio;Positive
"Klasemen Liga Spanyol: Hujan Kartu Derbi Catalan, Barcelona dalam Tekanan";Neutral
"Wolves Vs Man United, Penyebab Rashford Kena Sanksi Disiplin";Neutral
5 Burung Berwarna Kuning yang Dapat Dipelihara di Rumah;Neutral
3 Tips Dekorasi Rumah di Tahun Kelinci Air agar Hoki;Positive
Berapa Ukuran Karpet yang Ideal di Ruang Tamu?;Neutral
6 Aturan Membersihkan Rumah untuk Mereka yang Sibuk;Neutral
4 Ide Mendekorasi Balkon Rumah yang Menarik dan Mengundang;Positive
"Simpang Temu Lebak Bulus Resmi Dibuka, Begini Penampakannya";Neutral
"[POPULER PROPERTI] 1 Januari 2023, 4.175 Tiket Bakal Ludes Terjual";Neutral
"Tak Termasuk Jakarta, Ini Lima Provinsi dengan Jumlah Hotel Terbanyak";Neutral
"Berkendara Aman di Jalan Tol, Ketahui Bedanya ""Blind Spot"" dan ""Black Spot""";Neutral
"Penyelamat Kemacetan di Jalan Tol, Apa Itu Mobile Reader?";Neutral
"PNS Bisa Punya Rumah di IKN, Pemerintah Siapkan Skema KPR";Positive
"Harga Tiket Kapal Pelni Naik 23%, Dirut Sebut 10 Tahun Tidak Disesuaikan";Negative
Warga Eropa Berburu Alat Pendingin untuk Hadapi Panas Ekstrem;Negative
Tokopedia Turunkan Biaya Jasa Aplikasi Jadi Rp 1.000 Sepanjang Agustus;Positive
"Dari Bankir, Kini Pimpin Diplomasi Ekonomi Global RI";Positive
7 Tanda Micro Cheating yang Bisa Merusak Hubungan;Neutral
"Yuk Bermain di Trans Studio Bali, Indoor Theme Park Berkelas Dunia";Positive
"7 Cara Ampuh Melupakan Cinta Tak Berbalas, Jangan Cari 'Pelarian'";Neutral
"7 Manfaat Minyak Zaitun untuk Rambut, Melembapkan hingga Basmi Kutu";Positive
FOTO: Ramai-ramai Warga Serbu Apotek Ganja Pertama di New York;Positive
"Jay Y Lee, Putra Mahkota Samsung yang Pernah Terlibat Skandal Suap";Neutral
Jasamarga Terapkan Contraflow dari KM 57-47 Arah Jakarta Tol Japek;Neutral
Perppu Ciptaker Gantikan Beberapa Pasal di 4 UU Soal Ketenagakerjaan;Neutral
Perppu Ciptaker Tetap Hapus Hak Pekerja Libur 2 Hari dalam Seminggu;Negative
KADIN Dukung Perppu Cipta Kerja yang Beri Kepastian Investor;Positive
"Cara Mengubah Hobi Menggambar jadi Cuan, Yuk Intip Pekerjaannya...";Positive
Tips dan Trik Memasarkan Jasa Menggambar dan Melukis;Neutral
Solok Selatan Expo Digelar untuk Dorong Kemandirian UMKM;Positive
"Libur Tahun Baru, PKL di Alun-alun Kota Batu Raup Kenaikan Omzet ";Positive
5 Pilihan Bisnis yang Bisa Dicoba Bareng Pasangan;Neutral
Unair Batalkan Seminar yang Dihadiri Rocky Gerung;Negative
Istri di Semarang Selundupkan Pil Koplo di Dalam Bra untuk Suaminya yang Sedang Dipenjara;Negative
"Tolong Pengendara Motor Kecelakaan di Sleman, Warga Terkejut Korban Bawa Pedang";Neutral
"Nekat Berjualan di Kawasan Steril, 22 PKL di Solo Dikenai Sanksi Tipiring ";Negative
Pemprov Papua Antisipasi Dampak Kekeringan akibat Kemarau;Neutral
Polisi Masukkan Penculik Anak di Gunung Sahari dalam DPO;Negative
Luka Wabup Kaur Bengkulu karena Ledakan Petasan Cukup Serius;Negative
FOTO: Perayaan Tahun Baru 2023 di Sudirman-Thamrin;Positive
"Hujan, 15 Ruas Jalan di DKI Jakarta Tergenang Air";Negative
Alasan Jokowi Terbitkan Perppu Cipta Kerja yang Gugurkan Putusan MK;Neutral
"Prabowo Ungkap Isi Pertemuan dengan Jokowi dan Erick Thohir, Terkait Pilpres?";Neutral
Fauzi Baadilla Klaim akan Ada Deklarasi Dukungan Pendukung Jokowi ke Prabowo;Neutral
Riwayat Prabowo Dijuluki 08 Sejak Berpangkat Kapten TNI;Neutral
Elektabilitas Prabowo dan AHY Jika Gerindra-Demokrat Berkoalisi;Neutral
Ketua Projo Ungkap Alasan Sebut Jokowi Cenderung ke Prabowo;Neutral
"Membandingkan Biaya Admin BRI, BCA, Bank Mandiri, hingga BNI";Neutral
"Mulai 16 Januari, Pembayaran KRL Tak Bisa Lagi Gunakan Aplikasi LinkAja";Negative
Daftar UMR di Wilayah Jawa Timur Berlaku per 1 Januari 2023;Neutral
"[POPULER MONEY] Gaji Minimal Rp 5 Juta Kena Pajak 5 Persen | Modal, Syarat dan Cara Daftar Franchise Mixue";Neutral
Mau Belanja? Simak Daftar Promo di Mal-mal Ini;Positive
Latar Belakang Ketahanan Nasional;Neutral
"Tujuan PBB, Organisasi Internasional Terbesar di Dunia";Neutral
"Riwayat Stasiun Semarang Tawang, Cagar Budaya Langganan Kebanjiran";Neutral
Apa Arti Penting Kemerdekaan bagi Bangsa Indonesia?;Positive
Daftar Paus Gereja Katolik ;Neutral
"Makna Satu Kata Ganjar, Anies, Prabowo Mengawali Genderang Pilpres";Neutral
Airlangga soal Pergantian Ketum Golkar: Silakan Kalau Minat di 2024;Neutral
Erick Thohir Adukan Podcast Tempo ke Dewan Pers;Negative
"Gestur Capres: Ganjar Membumi, Anies Superior, Prabowo Mirip Jokowi";Neutral
"Revisi UU Desa, Simbiosis DPR dan Kades Jelang Pemilu 2024";Neutral
Kaleidoskop Hoaks 2022: Beragam Informasi Keliru soal Tragedi Kanjuruhan;Negative
Cek Fakta Sepekan: Hoaks Tornado Cilegon hingga Imbauan Tidak ke Anyer;Neutral
Benarkah Tabung Gas Bocor Cukup Direndam Air agar Tidak Meledak?;Neutral
"[HOAKS] Merendam Kaki di Campuran Minyak Tanah, Garam Dapur, dan Es Batu Berkhasiat Obati Asam Urat";Negative
Mengapa Paus Benediktus XVI Mengundurkan Diri pada 2013?;Neutral
8 Cara Menurunkan Berat Badan di Usia 50 Tahun ke Atas;Neutral
"Presiden Jokowi Keluarkan Perppu Cipta Kerja, Ini Alasan dan Isinya";Neutral
"Daftar Hari Besar Nasional Januari 2023, Ada Libur atau Tanggal Merah?";Neutral
5 Sayuran yang Sebaiknya Tidak Dikonsumsi Penderita Diabetes;Neutral
"Beli Gas Elpiji 3 Kg Wajib Pakai KTP di 2023, Begini Caranya";Neutral
Kenali Gejala Alzheimer di Usia Muda dan Penyebabnya;Neutral
Mengenal Efektivitas Olahraga Malam Hari untuk Menurunkan Berat Badan;Neutral
"Orang Dewasa Juga Bisa Tantrum, Begini Cara Mengatasinya";Neutral
4 Gejala Diabetes yang Sering Tak Disadari;Neutral
5 Cara Eksfoliasi Wajah Berdasarkan Jenis Kulit;Neutral
[UNIK GLOBAL] Semua Planet di Tata Surya Terlihat di Langit Malam Bersamaan | Nelayan Terapung di Samudera Atlantik;Positive
Rangkuman Hari ke-311 Serangan Rusia ke Ukraina: Komitmen Ukraina Perkuat Diri | Putin Undang Xi Jinping;Neutral
Taiwan akan Kirim Utusan Khusus Hadiri Pemakaman Paus Benediktus;Neutral
Pidato Tahun Baru Zelensky: Kembalikan Ukraina Kami!;Negative
Presiden Taiwan Tawarkan China Bantuan Tangani Ledakan Covid-19;Positive
Bedanya Peraturan Tertulis dan Tidak Tertulis;Neutral
Sumber Perekonomian Utama Brunei Darussalam;Neutral
Soal dan Jawaban Perkalian dan Pembagian Suku Banyak dengan Bilangan;Neutral
Mengapa Sungai Mengalir dari Dataran Tinggi ke Dataran Rendah?;Neutral
"Mengenal Upacara Rujena, Provinsi Maluku";Neutral
"Resep Corndog ala Korea, Pakai Sisa Sosis Bakaran Tahun Baru";Neutral
"Resep Tumis Jagung Mentega, Pakai Sisa Bumbu Olesan Jagung Bakar";Neutral
"Resep Lodeh Terong Bumbu Iris, Masakan Berkuah Santan Ala Rumahan ";Positive
"Resep Oliebollen, Donat Goreng Khas Belanda dari Bahan Simpel";Neutral
"Resep Choux Au Craquelin, Kue Sus Topping Gula Aren dan Mentega";Positive
"Polisi Sebut Karenina Anderson ""Hanya"" Pemakai, Kemungkinan Besar Direhabilitasi";Neutral
Pesan Syukur Jokowi-Ma'ruf Amin Setelah Indonesia Merdeka dari Covid-19;Positive
